FRAME,LOWER BODY,UPPER BODY,PCLJ
1,6,4,0.833333333
2,4,2,0.5
3,6,4,0.833333333
4,2,0,0.166666667
5,0,0,0
6,0,0,0
7,3,0,0.25
8,0,0,0
9,2,1,0.25
10,2,0,0.166666667
11,6,4,0.833333333
12,0,0,0
13,3,1,0.333333333
14,3,1,0.333333333
15,6,2,0.666666667
16,6,2,0.666666667
17,5,0,0.416666667
18,0,0,0
19,0,0,0
20,0,0,0
21,1,0,0.083333333
22,6,1,0.583333333
23,6,1,0.583333333
24,2,0,0.166666667
25,3,0,0.25
26,6,2,0.666666667
27,6,1,0.583333333
28,6,2,0.666666667
29,6,2,0.666666667
30,6,3,0.75
31,6,2,0.666666667
32,6,2,0.666666667
33,6,2,0.666666667
34,6,1,0.583333333
35,5,0,0.416666667
36,6,1,0.583333333
37,6,0,0.5
38,6,0,0.5
39,5,0,0.416666667
40,6,0,0.5
41,5,2,0.583333333
42,5,0,0.416666667
43,3,0,0.25
44,3,0,0.25
45,5,1,0.5
46,3,1,0.333333333
47,6,0,0.5
48,6,1,0.583333333
49,6,2,0.666666667
50,6,3,0.75
51,6,5,0.916666667
52,6,4,0.833333333
53,5,1,0.5
54,5,1,0.5
55,6,1,0.583333333
56,6,1,0.583333333
57,3,1,0.333333333
58,2,1,0.25
59,3,1,0.333333333
60,3,1,0.333333333
61,3,1,0.333333333
62,3,0,0.25
63,3,1,0.333333333
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,