FILE,ANGLE,START,RELEASE,CONTACT,LANDING
RF1stSDeuceSide2.csv,Side_FaceOn,1,26,54,58
RF2ndSAdSide1.csv,Side_FaceOn,1,36,62,73
RF2ndSDeuceSide2.csv,Side_FaceOn,1,25,51,58
RF1stSAdCourtLevelSide.csv,Side_Back,1,25,56,56
RF2ndSAdCourtLevelSide.csv,Side_Back,1,30,59,67
RF2ndSAdTossCourtLevelSide.csv,Side_Back,1,29,57,61
RF1stSAdCourtLevelFront1.csv,Front,1,29,55,64
RF1stSAdCourtLevelFront2.csv,Front,1,16,45,55
RF1stSAdFront4.csv,Front,1,35,67,70
RF1stSAdRear1.csv,Rear,1,28,58,67
RF1stSDeuceRear1.csv,Rear,1,37,66,71
RF1stSAdRear2.csv,Rear,1,26,56,64
RN1stSAdSide4.csv,Side_FaceOn,1,36,55,61
RN1stSAdSide3.csv,Side_FaceOn,1,26,48,54
RN2ndSDeuceSide1.csv,Side_FaceOn,1,35,55,62
RN1stSAdSide.csv,Side_Back,1,44,66,75
RN1stSAdSide7.csv,Side_Back,1,44,66,75
RN1stSDeuceSide5.csv,Side_Back,1,42,64,70
RN1stSAdFront1.csv,Front,1,30,50,59
RN1stSDeuceFront1.csv,Front,1,29,51,60
RN1stSDeuceFront3.csv,Front,1,24,48,54
RN1stSAdRear1.csv,Rear,1,30,50,57
RN1stSAdRear2.csv,Rear,1,32,53,59
RN1stSDeuceRear1.csv,Rear,1,34,55,63
SW1stSDeuceSide1.csv,Side_FaceOn,1,46,72,77
SW2ndSAdSide2.csv,Side_FaceOn,1,49,77,83
SW2ndSDeuceSide3.csv,Side_FaceOn,1,46,74,79
SW1stSDeuceCourtLevelSide1.csv,Side_Back,1,39,67,74
SW1stSDeuceSide2.csv,Side_Back,1,44,71,76
SW2ndSAdSide3.csv,Side_Back,1,44,72,77
SW1stSAdFront1.csv,Front,1,36,64,71
SW1stSDeuceFront1.csv,Front,1,33,63,68
SW1stSDeuceFront2.csv,Front,1,32,61,65
SW1stSAdRear1.csv,Rear,1,42,70,75
SW1stSDeuceRear1.csv,Rear,1,39,67,73
SW2ndSDeuceRear1.csv,Rear,1,33,63,68
CW1stSAdSide3.csv,Side_FaceOn,1,35,67,74
CW1stSDeuceSide4.csv,Side_FaceOn,1,46,78,86
CW1stSDeuceSide5.csv,Side_FaceOn,1,47,78,87
CW1stSAdSide1.csv,Side_Back,1,17,53,56
CW1stSAdSide2.csv,Side_Back,1,24,56,63
CW1stSDeuceSide2.csv,Side_Back,1,23,59,65
CW1stSAdFront2.csv,Front,1,35,68,75
CW1stSDeuceFront1.csv,Front,1,37,70,75
CW1stSDeuceFront2.csv,Front,1,35,67,71
CW1stSAdRear.csv,Rear,1,26,59,66
CW1stSDeuceRear1.csv,Rear,1,29,62,69
CW1stSDeuceRear2.csv,Rear,1,36,69,73